side,index,id
X_place,1,135085
X_place,2,132825
X_place,3,135032
X_place,4,132834
X_place,5,135052
X_place,6,135038
X_place,7,135060
X_place,8,135062
X_place,9,135042
X_place,10,132862
X_place,11,135058
X_place,12,132921
X_place,13,135041
X_place,14,135064
X_place,15,135079
X_place,16,132572
X_place,17,135025
X_place,18,135028
X_place,19,135057
X_place,20,132856
X_place,21,135051
X_place,22,132754
X_place,23,135045
X_place,24,135075
X_place,25,135076
X_place,26,132723
X_place,27,132830
X_place,28,132872
X_place,29,135030
X_place,30,135039
X_place,31,135066
X_place,32,135069
X_place,33,135026
X_place,34,135046
X_place,35,135081
X_place,36,135108
X_place,37,132733
X_place,38,132768
X_place,39,132951
X_place,40,135047
X_place,41,135054
X_place,42,135086
X_place,43,135106
X_place,44,132954
X_place,45,134996
X_place,46,135021
X_place,47,135043
X_place,48,135059
X_place,49,135065
X_place,50,135071
X_place,51,135082
X_place,52,132732
X_place,53,132740
X_place,54,132875
X_place,55,134986
X_place,56,135027
X_place,57,135050
X_place,58,135053
X_place,59,135063
X_place,60,135070
X_place,61,135072
X_place,62,132851
X_place,63,132861
X_place,64,135001
X_place,65,135055
X_place,66,135104
X_place,67,132584
X_place,68,132608
X_place,69,132613
X_place,70,132630
X_place,71,132663
X_place,72,132767
X_place,73,132847
X_place,74,132854
X_place,75,132869
X_place,76,132884
X_place,77,132922
X_place,78,132958
X_place,79,135019
X_place,80,135048
X_place,81,135080
X_place,82,135088
X_place,83,132594
X_place,84,132609
X_place,85,132660
X_place,86,132665
X_place,87,132755
X_place,88,132845
X_place,89,132846
X_place,90,132858
Y_user,1,U1061
Y_user,2,U1106
Y_user,3,U1134
Y_user,4,U1024
Y_user,5,U1022
Y_user,6,U1089
Y_user,7,U1135
Y_user,8,U1137
Y_user,9,U1003
Y_user,10,U1016
Y_user,11,U1053
Y_user,12,U1071
Y_user,13,U1097
Y_user,14,U1112
Y_user,15,U1036
Y_user,16,U1075
Y_user,17,U1088
Y_user,18,U1098
Y_user,19,U1104
Y_user,20,U1122
Y_user,21,U1006
Y_user,22,U1009
Y_user,23,U1014
Y_user,24,U1025
Y_user,25,U1027
Y_user,26,U1033
Y_user,27,U1037
Y_user,28,U1054
Y_user,29,U1057
Y_user,30,U1073
Y_user,31,U1081
Y_user,32,U1096
Y_user,33,U1099
Y_user,34,U1111
Y_user,35,U1114
Y_user,36,U1116
Y_user,37,U1125
Y_user,38,U1128
Y_user,39,U1002
Y_user,40,U1013
Y_user,41,U1018
Y_user,42,U1029
Y_user,43,U1032
Y_user,44,U1045
Y_user,45,U1055
Y_user,46,U1056
Y_user,47,U1058
Y_user,48,U1059
Y_user,49,U1084
Y_user,50,U1085
Y_user,51,U1090
Y_user,52,U1095
Y_user,53,U1101
Y_user,54,U1108
Y_user,55,U1109
Y_user,56,U1124
Y_user,57,U1126
Y_user,58,U1132
Y_user,59,U1136
Y_user,60,U1001
Y_user,61,U1005
Y_user,62,U1007
Y_user,63,U1008
Y_user,64,U1019
Y_user,65,U1046
Y_user,66,U1049
Y_user,67,U1062
Y_user,68,U1069
Y_user,69,U1082
Y_user,70,U1083
Y_user,71,U1086
Y_user,72,U1091
Y_user,73,U1120
Y_user,74,U1133
Y_user,75,U1004
Y_user,76,U1010
Y_user,77,U1015
Y_user,78,U1030
Y_user,79,U1068
Y_user,80,U1087
Y_user,81,U1093
Y_user,82,U1094
Y_user,83,U1103
Y_user,84,U1105
Y_user,85,U1113
Y_user,86,U1115
Y_user,87,U1123
Y_user,88,U1028
Y_user,89,U1048
Y_user,90,U1050
